ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
91.0,1262.0,664.0,890.0,2881.0,1096.0,370.0,72.0,92.0,2801.0,3669.0,52.0,1066.0,309.0,3039.0,1577.0,805.0,2091.0,884.0,553.0,582.0,42.0,1852.0,1064.0,1692.0,497.0,525.0,1300.0,492.0,920.0,29.0,1028.0,523.0,725.0,1246.0,2359.0,1315.0,199.0,1666.0,1206.0,101.0,468.0,513.0,1855.0,8061.0,452.0,636.0,6.0,276.0,2791.0,242.0,170.0
121.0,1490.0,794.0,1211.0,3467.0,1544.0,658.0,125.0,144.0,3344.0,3933.0,53.0,1415.0,368.0,4089.0,2213.0,1080.0,2413.0,995.0,709.0,931.0,48.0,2457.0,1444.0,2128.0,606.0,572.0,1516.0,473.0,1149.0,64.0,1654.0,708.0,1069.0,2118.0,3196.0,1616.0,308.0,2334.0,1280.0,131.0,515.0,496.0,2379.0,9305.0,548.0,777.0,24.0,422.0,3325.0,302.0,197.0
121.0,1611.0,928.0,1600.0,4864.0,1850.0,694.0,132.0,161.0,3634.0,3744.0,58.0,1525.0,381.0,4374.0,2457.0,1243.0,2717.0,1389.0,949.0,1195.0,97.0,2983.0,1639.0,2391.0,825.0,597.0,1724.0,506.0,1254.0,74.0,2227.0,844.0,1315.0,2546.0,4167.0,2051.0,346.0,3269.0,1068.0,239.0,571.0,494.0,2656.0,10944.0,646.0,910.0,21.0,594.0,3310.0,369.0,230.0
154.0,1799.0,910.0,1933.0,6828.0,1886.0,808.0,128.0,226.0,4016.0,3923.0,32.0,1144.0,438.0,4012.0,2529.0,1181.0,2847.0,1589.0,952.0,1407.0,97.0,3528.0,1525.0,2083.0,881.0,530.0,1905.0,399.0,1081.0,117.0,2443.0,807.0,1438.0,3176.0,4442.0,2178.0,438.0,3971.0,870.0,249.0,649.0,400.0,2730.0,10334.0,631.0,1104.0,28.0,690.0,2875.0,480.0,214.0
134.0,2306.0,986.0,2629.0,8883.0,1882.0,936.0,193.0,349.0,4600.0,4854.0,48.0,991.0,440.0,3904.0,2584.0,1174.0,3175.0,1985.0,1382.0,1519.0,119.0,3270.0,1392.0,2096.0,951.0,419.0,2306.0,341.0,932.0,166.0,2832.0,943.0,1615.0,4131.0,4909.0,2130.0,498.0,4888.0,1355.0,394.0,841.0,346.0,3234.0,10640.0,678.0,1303.0,36.0,695.0,2673.0,503.0,213.0
102.0,2548.0,1010.0,3115.0,11623.0,1677.0,1047.0,201.0,358.0,4878.0,5282.0,50.0,824.0,423.0,3747.0,2675.0,1162.0,3113.0,2109.0,1720.0,1452.0,115.0,2934.0,1194.0,2083.0,1038.0,420.0,2636.0,285.0,758.0,269.0,3099.0,867.0,1815.0,5094.0,4856.0,2007.0,436.0,5218.0,1231.0,358.0,1026.0,304.0,3534.0,11356.0,670.0,1453.0,29.0,700.0,2382.0,567.0,189.0
100.0,2926.0,1063.0,3282.0,14891.0,1396.0,917.0,216.0,358.0,5607.0,5687.0,47.0,651.0,401.0,3389.0,2559.0,1087.0,3141.0,2074.0,1759.0,1535.0,126.0,2495.0,921.0,1993.0,1040.0,361.0,2813.0,217.0,607.0,230.0,2883.0,855.0,1727.0,5605.0,4724.0,2234.0,445.0,5078.0,1341.0,269.0,1190.0,225.0,3783.0,12196.0,635.0,1621.0,45.0,710.0,2249.0,566.0,183.0
60.0,3023.0,1068.0,3456.0,15418.0,1150.0,990.0,188.0,322.0,5948.0,6951.0,65.0,609.0,305.0,3048.0,2408.0,952.0,2976.0,2033.0,1899.0,1505.0,100.0,2091.0,798.0,1862.0,1146.0,252.0,3087.0,195.0,548.0,254.0,2885.0,843.0,1649.0,6253.0,3979.0,2307.0,414.0,4586.0,1104.0,354.0,1323.0,154.0,3439.0,13578.0,548.0,1683.0,39.0,750.0,1685.0,602.0,154.0
69.0,3164.0,1204.0,3696.0,15933.0,1054.0,914.0,226.0,319.0,7184.0,7954.0,72.0,582.0,339.0,2869.0,2779.0,967.0,3276.0,2591.0,2030.0,1453.0,86.0,1827.0,778.0,1853.0,1164.0,259.0,3311.0,183.0,507.0,275.0,2851.0,881.0,1552.0,6689.0,4017.0,2545.0,454.0,4348.0,855.0,231.0,1632.0,175.0,3965.0,15823.0,564.0,1848.0,37.0,707.0,1566.0,677.0,136.0
76.0,3367.0,1251.0,4124.0,16721.0,957.0,1073.0,262.0,379.0,8108.0,9157.0,77.0,613.0,319.0,2823.0,2542.0,948.0,3276.0,2946.0,2032.0,1643.0,117.0,1955.0,694.0,1922.0,1145.0,283.0,3859.0,135.0,529.0,246.0,2985.0,694.0,1640.0,7413.0,3946.0,2695.0,432.0,4198.0,875.0,200.0,1940.0,160.0,3660.0,17256.0,664.0,2096.0,66.0,710.0,1708.0,630.0,115.0
54.0,3021.0,1135.0,3951.0,14726.0,908.0,1048.0,257.0,373.0,7724.0,9096.0,69.0,538.0,255.0,2576.0,2006.0,955.0,3319.0,2531.0,2040.0,1541.0,130.0,1712.0,594.0,1674.0,933.0,305.0,3826.0,128.0,525.0,196.0,2968.0,732.0,1521.0,7240.0,3625.0,2266.0,369.0,3856.0,904.0,223.0,1900.0,155.0,2920.0,16774.0,605.0,2160.0,68.0,658.0,1571.0,550.0,116.0
35.0,2529.0,1035.0,3631.0,13038.0,837.0,975.0,218.0,342.0,7203.0,8468.0,68.0,456.0,177.0,2230.0,1696.0,786.0,2907.0,2138.0,1791.0,1409.0,93.0,1375.0,445.0,1298.0,778.0,240.0,3162.0,101.0,433.0,174.0,2666.0,727.0,1360.0,6689.0,3059.0,1931.0,260.0,3293.0,1315.0,184.0,1708.0,93.0,2312.0,15161.0,515.0,1977.0,67.0,633.0,1268.0,496.0,83.0
29.0,2032.0,846.0,3090.0,10564.0,681.0,843.0,214.0,266.0,6556.0,7139.0,54.0,381.0,172.0,1983.0,1284.0,593.0,2702.0,1729.0,1546.0,1290.0,96.0,1076.0,388.0,1133.0,636.0,170.0,2812.0,92.0,302.0,132.0,2393.0,589.0,1145.0,6066.0,2519.0,1657.0,306.0,2973.0,243.0,184.0,1523.0,82.0,1793.0,13504.0,480.0,1802.0,100.0,570.0,1110.0,391.0,73.0
25.0,1703.0,743.0,2287.0,8437.0,626.0,782.0,217.0,243.0,5809.0,6255.0,33.0,367.0,153.0,1616.0,1200.0,493.0,2358.0,1427.0,1311.0,1141.0,83.0,962.0,339.0,959.0,527.0,170.0,2274.0,83.0,283.0,119.0,2283.0,480.0,997.0,5572.0,2064.0,1471.0,272.0,2466.0,836.0,131.0,1262.0,77.0,1533.0,11523.0,433.0,1603.0,61.0,500.0,917.0,363.0,62.0
